Year,Inflation,US Stock Market,US Large Cap,US Large Cap Value,US Large Cap Growth,US Mid Cap,US Mid Cap Value,US Mid Cap Growth,US Small Cap,US Small Cap Value,US Small Cap Growth,US Micro Cap,Global ex-US Stock Market,Intl Developed ex-US Market,International ex-US Small Cap,International ex-US Value,European Stocks,Pacific Stocks,Emerging Markets,Cash,Short Term Treasury,Intermediate Term Treasury,10-year Treasury,Long Term Treasury,Total US Bond Market,TIPS,Global Bonds (Unhedged),Global Bonds (USD Hedged),Short-Term Investment Grade,Corporate Bonds,Long-Term Corporate Bonds,High Yield Corporate Bonds,Short-Term Tax-Exempt,Intermediate-Term Tax-Exempt,Long-Term Tax-Exempt,REIT,Gold,Precious Metals,Commodities
2010,0.015,0.1709,0.1491,0.1427,0.1696,0.2546,0.2163,0.2893,0.2772,0.2482,0.3069,0.2486,0.1112,0.0836,0.256,0.0447,0.049100000000000005,0.1577,0.1886,0.0014000000000000002,0.0263,0.0735,0.07919999999999999,0.08929999999999999,0.0642,0.0617,0.08,0.08529999999999999,0.0521,0.0933,0.10710000000000001,0.124,0.0095,0.0213,0.015,0.28300000000000003,0.2927,0.37450000000000006,0.0717
2011,0.0296,0.0096,0.0197,0.01,0.0171,-0.021099999999999997,-0.0044,-0.0384,-0.027999999999999997,-0.0416,-0.0158,-0.0786,-0.1456,-0.1251,-0.1963,-0.1242,-0.11599999999999999,-0.14,-0.18780000000000002,0.0007000000000000001,0.0226,0.09789999999999999,0.1624,0.2928,0.0756,0.1323,0.0378,0.086,0.019299999999999998,0.0973,0.1718,0.0713,0.016,0.0962,0.1069,0.08470000000000001,0.09570000000000001,-0.217,-0.032799999999999996
2012,0.0174,0.1625,0.1582,0.15,0.1689,0.158,0.1591,0.15810000000000002,0.1804,0.1856,0.1752,0.19829999999999998,0.1814,0.1856,0.2073,0.1883,0.20800000000000002,0.1549,0.1864,0.0008,0.0069,0.026699999999999998,0.0273,0.0346,0.0405,0.0677,0.08039999999999999,0.09539999999999998,0.0452,0.1058,0.1166,0.1436,0.009899999999999999,0.057,0.0808,0.1753,0.066,-0.1298,-0.0058
2013,0.015,0.3335,0.3218,0.3287,0.32159999999999994,0.35,0.37420000000000003,0.32020000000000004,0.3762,0.3641,0.37979999999999997,0.5091,0.15039999999999998,0.2206,0.166,0.2184,0.247,0.1736,-0.0519,0.0005,-0.001,-0.030899999999999997,-0.0857,-0.1303,-0.0226,-0.0892,-0.0274,-0.008100000000000001,0.0097,-0.02,-0.0587,0.0454,0.0048,-0.015600000000000001,-0.029500000000000002,0.0231,-0.2833,-0.3513,-0.0183
2014,0.0076,0.1243,0.1351,0.1307,0.13470000000000001,0.136,0.1384,0.1335,0.0737,0.1039,0.0388,0.0461,-0.0424,-0.056600000000000004,-0.0506,-0.068,-0.0667,-0.046900000000000004,0.0042,0.0003,0.0070999999999999995,0.0432,0.1063,0.2527,0.0576,0.0383,0.0034000000000000002,0.09699999999999999,0.0176,0.0821,0.18170000000000003,0.0458,0.006500000000000001,0.0725,0.1107,0.3013,-0.0219,-0.11410000000000001,-0.3296
2015,0.0073,0.0029,0.0125,-0.0104,0.0317,-0.014499999999999999,-0.0191,-0.0113,-0.0378,-0.04769999999999999,-0.0264,-0.0828,-0.0438,-0.0019,-0.0001,-0.058600000000000006,-0.02,0.0225,-0.1547,0.0005,0.0045000000000000005,0.015,0.011200000000000002,-0.0154,0.003,-0.0183,-0.050499999999999996,-0.0,0.0103,-0.0125,-0.022000000000000002,-0.013999999999999999,0.0045000000000000005,0.0285,0.0397,0.0222,-0.1067,-0.2942,-0.3406
2016,0.0207,0.1253,0.1182,0.1675,0.0599,0.1107,0.15109999999999998,0.0662,0.18170000000000003,0.2465,0.1061,0.2147,0.04650000000000001,0.0245,0.0426,0.050499999999999996,-0.008,0.0519,0.115,0.003,0.01,0.011899999999999999,0.01,0.0121,0.025,0.0452,0.0361,0.0617,0.0275,0.0621,0.0783,0.1119,0.0036,0.0008,0.0062,0.0834,0.0803,0.5064,0.1012
2017,0.021099999999999997,0.21050000000000002,0.2167,0.1699,0.27649999999999997,0.1912,0.1691,0.21719999999999998,0.161,0.1167,0.21780000000000002,0.1247,0.27399999999999997,0.264,0.306,0.2125,0.2682,0.2839,0.3115,0.0088,0.004,0.0158,0.0239,0.0859,0.0345,0.0281,0.08869999999999999,0.0432,0.0203,0.0706,0.11939999999999999,0.0702,0.01,0.0454,0.0643,0.0483,0.1281,0.1375,0.038900000000000004
2018,0.0191,-0.0526,-0.0453,-0.0555,-0.0346,-0.0934,-0.1253,-0.0574,-0.0943,-0.1234,-0.057999999999999996,-0.17120000000000002,-0.1444,-0.1446,-0.18469999999999998,-0.1466,-0.14859999999999998,-0.1398,-0.1471,0.019,0.013500000000000002,0.01,0.009899999999999999,-0.019,-0.0013,-0.0149,-0.024900000000000002,-0.0046,0.0086,-0.0379,-0.059500000000000004,-0.0296,0.0159,0.0125,0.009000000000000001,-0.0611,-0.0194,-0.08789999999999999,-0.1388
2019,0.0229,0.3065,0.31329999999999997,0.25670000000000004,0.37079999999999996,0.3086,0.2782,0.3372,0.2722,0.2261,0.326,0.1534,0.2143,0.2205,0.21359999999999998,0.1578,0.24059999999999998,0.17420000000000002,0.20129999999999998,0.0213,0.0359,0.0629,0.0803,0.1413,0.0861,0.0806,0.0682,0.0676,0.0574,0.17370000000000002,0.2041,0.15789999999999998,0.023799999999999998,0.0678,0.0849,0.2878,0.17859999999999998,0.3979,0.1562
2020,0.013600000000000001,0.2087,0.1825,0.0218,0.40009999999999996,0.18100000000000002,0.0241,0.3432,0.18960000000000002,0.0572,0.35100000000000003,0.2553,0.1116,0.1026,0.1184,-0.0297,0.063,0.1637,0.1505,0.0044,0.039599999999999996,0.0821,0.1001,0.18289999999999998,0.0761,0.109,0.1349,0.0731,0.051500000000000004,0.1097,0.1536,0.0528,0.0182,0.0513,0.0621,-0.0478,0.2481,0.2366,-0.2394
2021,0.0704,0.2559,0.28550000000000003,0.2631,0.271,0.24359999999999998,0.2859,0.2032,0.1759,0.2796,0.0558,0.2231,0.0861,0.1143,0.1307,0.10869999999999999,0.16190000000000002,0.013600000000000001,0.0073,0.0004,-0.0087,-0.0229,-0.0333,-0.0473,-0.0177,0.0556,-0.0493,-0.0053,-0.0043,-0.018500000000000003,-0.023799999999999998,0.0368,0.0017000000000000001,0.011000000000000001,0.0226,0.4019,-0.0415,-0.09519999999999999,0.38770000000000004
2022,0.0645,-0.196,-0.18230000000000002,-0.0218,-0.3322,-0.188,-0.08,-0.2893,-0.1772,-0.0943,-0.2849,-0.23399999999999999,-0.1605,-0.1532,-0.2147,-0.0518,-0.16149999999999998,-0.1533,-0.179,0.0182,-0.0471,-0.1043,-0.1519,-0.2958,-0.1325,-0.1202,-0.1718,-0.0535,-0.058499999999999996,-0.1793,-0.2562,-0.0906,-0.008100000000000001,-0.0691,-0.1043,-0.263,-0.0077,-0.0898,0.2408
2023,0.0335,0.2587,0.2611,0.0911,0.466,0.15839999999999999,0.0962,0.2299,0.1805,0.1586,0.213,0.1142,0.15380000000000002,0.17670000000000002,0.15560000000000002,0.1889,0.1984,0.15410000000000001,0.09,0.051699999999999996,0.0315,0.0375,0.0364,0.029900000000000003,0.053099999999999994,0.0374,0.0548,0.0695,0.0575,0.094,0.0882,0.1107,0.0362,0.0556,0.0725,0.11630000000000001,0.12689999999999999,0.09960000000000001,-0.055099999999999996
2024,0.0182,0.051,0.0599,0.0535,0.061900000000000004,0.027000000000000003,0.0326,0.020099999999999996,0.0045000000000000005,0.0060999999999999995,0.0017000000000000001,-0.023,0.0197,0.016200000000000003,-0.0037,0.0263,0.022000000000000002,0.0070999999999999995,0.0296,0.0177,-0.0034999999999999996,-0.0278,-0.0438,-0.09050000000000001,-0.0323,-0.0176,-0.050499999999999996,-0.0018,-0.0001,-0.0408,-0.0662,-0.0024,0.0040999999999999995,-0.01,-0.0146,-0.091,0.10830000000000001,0.0684,0.11019999999999999
